Period,Inflation (Can),Inflation (US),GDP (B$),Empl.Per. (M),CPI (Can),CPI (US),CC (Can),PC Util (Can),PC Util (US),Bus Conf (Can),Bus Conf (US),TSX,Retail YoY%,M3 T$,Gov Sp M$,EI (000s),Disp.Inc. M$,Consum.Cr. M$,Exports M$,Tourist Arr. (Persons)
2013-02-10,1.1357142857142857,1.8392857142857144,1736.7445,17.539207142857144,122.76428571428572,232.7264642857143,54.98571428571429,80.76428571428572,77.06428571428572,-1.2667857142857142,2.190714285714286,12759.642857142857,2.1392857142857142,1.6184031428571428,126967.67857142857,531624.2857142857,345619.35714285716,610022.0,39664.96428571428,1313136.2142857143
2013-02-11,1.1285714285714286,1.8214285714285714,1736.96,17.537585714285715,122.77142857142857,232.70307142857143,54.92857142857143,80.77142857142857,77.07142857142857,-1.2764285714285715,2.0785714285714287,12761.714285714286,2.1214285714285714,1.6186427142857143,126962.64285714286,531421.4285714285,345642.28571428574,610035.0,39684.271428571425,1323169.5714285714
2013-02-12,1.1214285714285714,1.8035714285714286,1737.1755,17.535964285714286,122.77857142857144,232.67967857142858,54.871428571428574,80.77857142857144,77.07857142857144,-1.2860714285714285,1.9664285714285716,12763.785714285714,2.1035714285714286,1.6188822857142857,126957.60714285714,531218.5714285715,345665.21428571426,610048.0,39703.578571428574,1333202.9285714286
2013-02-13,1.1142857142857143,1.7857142857142858,1737.391,17.534342857142857,122.78571428571429,232.65628571428573,54.81428571428572,80.78571428571429,77.08571428571429,-1.2957142857142856,1.8542857142857145,12765.857142857143,2.0857142857142854,1.6191218571428572,126952.57142857143,531015.7142857143,345688.14285714284,610061.0,39722.885714285716,1343236.2857142857
2013-02-14,1.1071428571428572,1.7678571428571428,1737.6065,17.532721428571428,122.79285714285714,232.63289285714288,54.75714285714286,80.79285714285714,77.09285714285714,-1.3053571428571429,1.7421428571428574,12767.92857142857,2.0678571428571426,1.6193614285714286,126947.53571428571,530812.8571428572,345711.0714285714,610074.0,39742.19285714286,1353269.642857143
2013-02-15,1.1,1.75,1737.8220000000001,17.531100000000002,122.80000000000001,232.60950000000003,54.7,80.80000000000001,77.1,-1.315,1.6300000000000001,12770.0,2.05,1.6196009999999998,126942.5,530610.0,345734.0,610087.0,39761.5,1363303.0
2013-02-16,1.0928571428571427,1.7321428571428572,1738.0375,17.529478571428573,122.80714285714286,232.58610714285714,54.64285714285714,80.80714285714286,77.10714285714286,-1.324642857142857,1.517857142857143,12772.07142857143,2.032142857142857,1.6198405714285713,126937.46428571429,530407.1428571428,345756.9285714286,610100.0,39780.80714285714,1373336.3571428573
2013-02-17,1.0857142857142856,1.7142857142857144,1738.253,17.527857142857144,122.81428571428572,232.5627142857143,54.58571428571428,80.81428571428572,77.11428571428571,-1.3342857142857143,1.405714285714286,12774.142857142857,2.0142857142857142,1.6200801428571427,126932.42857142857,530204.2857142857,345779.85714285716,610113.0,39800.114285714284,1383369.7142857143
2013-02-18,1.0785714285714285,1.6964285714285714,1738.4685,17.526235714285715,122.82142857142857,232.53932142857144,54.528571428571425,80.82142857142857,77.12142857142857,-1.3439285714285714,1.2935714285714288,12776.214285714286,1.9964285714285714,1.6203197142857142,126927.39285714286,530001.4285714285,345802.78571428574,610126.0,39819.421428571426,1393403.0714285714
2013-02-19,1.0714285714285714,1.6785714285714286,1738.684,17.524614285714286,122.82857142857144,232.5159285714286,54.47142857142857,80.82857142857144,77.12857142857143,-1.3535714285714286,1.1814285714285715,12778.285714285714,1.9785714285714286,1.6205592857142856,126922.35714285714,529798.5714285715,345825.71428571426,610139.0,39838.728571428575,1403436.4285714286
2013-02-20,1.0642857142857143,1.6607142857142858,1738.8995,17.522992857142857,122.83571428571429,232.49253571428574,54.41428571428571,80.83571428571429,77.13571428571429,-1.3632142857142857,1.0692857142857144,12780.357142857143,1.9607142857142856,1.620798857142857,126917.32142857143,529595.7142857143,345848.64285714284,610152.0,39858.03571428572,1413469.7857142857
2013-02-21,1.0571428571428572,1.6428571428571428,1739.115,17.52137142857143,122.84285714285714,232.46914285714286,54.357142857142854,80.84285714285714,77.14285714285714,-1.3728571428571428,0.9571428571428573,12782.42857142857,1.9428571428571428,1.6210384285714285,126912.28571428571,529392.8571428572,345871.5714285714,610165.0,39877.34285714286,1423503.142857143
2013-02-22,1.05,1.625,1739.3305,17.519750000000002,122.85000000000001,232.44575,54.3,80.85000000000001,77.15,-1.3824999999999998,0.8450000000000002,12784.5,1.925,1.621278,126907.25,529190.0,345894.5,610178.0,39896.65,1433536.5
2013-02-23,1.042857142857143,1.6071428571428572,1739.546,17.518128571428573,122.85714285714286,232.42235714285715,54.24285714285714,80.85714285714286,77.15714285714286,-1.3921428571428571,0.7328571428571431,12786.57142857143,1.907142857142857,1.6215175714285714,126902.21428571429,528987.1428571428,345917.4285714286,610191.0,39915.95714285714,1443569.8571428573
2013-02-24,1.0357142857142858,1.5892857142857144,1739.7615,17.516507142857144,122.86428571428571,232.3989642857143,54.18571428571428,80.86428571428571,77.16428571428571,-1.4017857142857142,0.620714285714286,12788.642857142857,1.8892857142857142,1.621757142857143,126897.17857142857,528784.2857142857,345940.35714285716,610204.0,39935.264285714286,1453603.2142857143
2013-02-25,1.0285714285714285,1.5714285714285714,1739.9769999999999,17.514885714285715,122.87142857142858,232.37557142857145,54.128571428571426,80.87142857142858,77.17142857142858,-1.4114285714285715,0.5085714285714289,12790.714285714286,1.8714285714285714,1.6219967142857141,126892.14285714286,528581.4285714285,345963.28571428574,610217.0,39954.57142857143,1463636.5714285714
2013-02-26,1.0214285714285714,1.5535714285714286,1740.1924999999999,17.513264285714286,122.87857142857143,232.3521785714286,54.07142857142857,80.87857142857143,77.17857142857143,-1.4210714285714285,0.3964285714285718,12792.785714285714,1.8535714285714286,1.6222362857142856,126887.10714285714,528378.5714285715,345986.21428571426,610230.0,39973.87857142858,1473669.9285714286
2013-02-27,1.0142857142857142,1.5357142857142858,1740.408,17.51164285714286,122.88571428571429,232.32878571428571,54.01428571428571,80.88571428571429,77.18571428571428,-1.4307142857142856,0.2842857142857147,12794.857142857143,1.8357142857142859,1.622475857142857,126882.07142857143,528175.7142857143,346009.14285714284,610243.0,39993.18571428572,1483703.2857142857
2013-02-28,1.0071428571428571,1.5178571428571428,1740.6235,17.51002142857143,122.89285714285715,232.30539285714286,53.957142857142856,80.89285714285715,77.19285714285715,-1.440357142857143,0.17214285714285715,12796.92857142857,1.8178571428571428,1.6227154285714285,126877.03571428571,527972.8571428572,346032.0714285714,610256.0,40012.49285714286,1493736.6428571427
2013-03-01,1.0,1.5,1740.839,17.5084,122.9,232.282,53.9,80.9,77.2,-1.45,0.06,12799.0,1.8,1.622955,126872.0,527770.0,346055.0,610269.0,40031.8,1503770.0
2013-03-02,0.9806451612903225,1.4870967741935484,1740.9389354838709,17.509209677419356,122.89354838709679,232.26635483870967,53.86774193548387,80.8967741935484,77.19677419354839,-1.4409677419354838,-0.32258064516129037,12797.483870967742,1.8161290322580645,1.6233355161290322,126862.87096774194,527737.0967741936,346075.70967741933,610308.0,40049.01290322581,1503655.0967741935
2013-03-03,0.9612903225806452,1.4741935483870967,1741.0388709677418,17.51001935483871,122.88709677419355,232.25070967741937,53.83548387096774,80.89354838709679,77.19354838709678,-1.4319354838709677,-0.7051612903225808,12795.967741935483,1.832258064516129,1.6237160322580644,126853.74193548386,527704.1935483871,346096.4193548387,610347.0,40066.22580645161,1503540.1935483871
2013-03-04,0.9419354838709677,1.4612903225806453,1741.138806451613,17.510829032258066,122.88064516129033,232.23506451612903,53.803225806451614,80.89032258064516,77.19032258064516,-1.4229032258064516,-1.087741935483871,12794.451612903225,1.8483870967741935,1.6240965483870966,126844.6129032258,527671.2903225806,346117.12903225806,610386.0,40083.43870967742,1503425.2903225806
2013-03-05,0.9225806451612903,1.4483870967741936,1741.2387419354839,17.51163870967742,122.8741935483871,232.21941935483872,53.77096774193548,80.88709677419355,77.18709677419355,-1.4138709677419354,-1.4703225806451614,12792.935483870968,1.864516129032258,1.624477064516129,126835.48387096774,527638.3870967742,346137.8387096774,610425.0,40100.65161290323,1503310.3870967743
2013-03-06,0.9032258064516129,1.435483870967742,1741.3386774193548,17.512448387096775,122.86774193548388,232.20377419354838,53.73870967741935,80.88387096774194,77.18387096774194,-1.4048387096774193,-1.8529032258064517,12791.41935483871,1.8806451612903226,1.6248575806451613,126826.35483870968,527605.4838709678,346158.5483870968,610464.0,40117.86451612903,1503195.4838709678
2013-03-07,0.8838709677419355,1.4225806451612903,1741.4386129032257,17.51325806451613,122.86129032258064,232.18812903225808,53.70645161290322,80.88064516129033,77.18064516129033,-1.3958064516129032,-2.2354838709677423,12789.90322580645,1.896774193548387,1.6252380967741935,126817.2258064516,527572.5806451613,346179.2580645161,610503.0,40135.07741935484,1503080.5806451612
2013-03-08,0.864516129032258,1.4096774193548387,1741.5385483870969,17.514067741935484,122.85483870967742,232.17248387096774,53.674193548387095,80.87741935483871,77.1774193548387,-1.386774193548387,-2.6180645161290323,12788.387096774193,1.9129032258064516,1.6256186129032257,126808.09677419355,527539.6774193548,346199.96774193546,610542.0,40152.29032258065,1502965.677419355
2013-03-09,0.8451612903225807,1.396774193548387,1741.6384838709678,17.51487741935484,122.8483870967742,232.15683870967743,53.64193548387097,80.8741935483871,77.1741935483871,-1.377741935483871,-3.000645161290323,12786.870967741936,1.929032258064516,1.625999129032258,126798.96774193548,527506.7741935484,346220.67741935485,610581.0,40169.50322580645,1502850.7741935484
2013-03-10,0.8258064516129032,1.3838709677419354,1741.7384193548387,17.515687096774194,122.84193548387097,232.1411935483871,53.60967741935484,80.87096774193549,77.17096774193548,-1.3687096774193548,-3.3832258064516134,12785.354838709678,1.9451612903225806,1.6263796451612902,126789.83870967742,527473.8709677419,346241.3870967742,610620.0,40186.71612903226,1502735.8709677418
2013-03-11,0.8064516129032258,1.370967741935484,1741.8383548387096,17.51649677419355,122.83548387096775,232.12554838709679,53.57741935483871,80.86774193548388,77.16774193548387,-1.3596774193548387,-3.7658064516129035,12783.838709677419,1.961290322580645,1.6267601612903226,126780.70967741935,527440.9677419355,346262.0967741936,610659.0,40203.929032258064,1502620.9677419355
2013-03-12,0.7870967741935484,1.3580645161290323,1741.9382903225805,17.517306451612903,122.82903225806452,232.10990322580645,53.54516129032258,80.86451612903227,77.16451612903226,-1.3506451612903225,-4.1483870967741945,12782.322580645161,1.9774193548387096,1.6271406774193549,126771.58064516129,527408.0645161291,346282.8064516129,610698.0,40221.14193548387,1502506.064516129
2013-03-13,0.7677419354838709,1.3451612903225807,1742.0382258064517,17.518116129032258,122.8225806451613,232.09425806451614,53.51290322580645,80.86129032258064,77.16129032258064,-1.3416129032258064,-4.530967741935485,12780.806451612903,1.993548387096774,1.627521193548387,126762.45161290323,527375.1612903225,346303.51612903224,610737.0,40238.35483870968,1502391.1612903227
2013-03-14,0.7483870967741935,1.332258064516129,1742.1381612903226,17.518925806451612,122.81612903225808,232.0786129032258,53.48064516129032,80.85806451612903,77.15806451612903,-1.3325806451612903,-4.9135483870967755,12779.290322580646,2.009677419354839,1.6279017096774193,126753.32258064517,527342.2580645161,346324.22580645164,610776.0,40255.56774193548,1502276.2580645161
2013-03-15,0.7290322580645161,1.3193548387096774,1742.2380967741935,17.519735483870967,122.80967741935484,232.0629677419355,53.44838709677419,80.85483870967742,77.15483870967742,-1.3235483870967741,-5.296129032258065,12777.774193548386,2.0258064516129033,1.6282822258064515,126744.19354838709,527309.3548387097,346344.93548387097,610815.0,40272.78064516129,1502161.3548387096
2013-03-16,0.7096774193548387,1.306451612903226,1742.3380322580645,17.520545161290322,122.80322580645162,232.04732258064516,53.41612903225806,80.85161290322581,77.15161290322581,-1.314516129032258,-5.678709677419356,12776.258064516129,2.041935483870968,1.6286627419354838,126735.06451612903,527276.4516129033,346365.6451612903,610854.0,40289.9935483871,1502046.4516129033
2013-03-17,0.6903225806451613,1.2935483870967743,1742.4379677419356,17.52135483870968,122.79677419354839,232.03167741935485,53.383870967741935,80.84838709677419,77.14838709677419,-1.3054838709677419,-6.061290322580646,12774.741935483871,2.0580645161290323,1.6290432580645162,126725.93548387097,527243.5483870967,346386.3548387097,610893.0,40307.2064516129,1501931.5483870967
2013-03-18,0.6709677419354838,1.2806451612903227,1742.5379032258065,17.522164516129035,122.79032258064517,232.0160322580645,53.351612903225806,80.84516129032258,77.14516129032258,-1.2964516129032257,-6.443870967741937,12773.225806451614,2.074193548387097,1.6294237741935484,126716.80645161291,527210.6451612903,346407.06451612903,610932.0,40324.41935483871,1501816.6451612904
